Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Quantity 2,Quantity 3,Mfg Std Lead Time,Description,Comments,RoHS Status,Lead Free Status,REACH Status
ATMEGA32U4-AURCT-ND,MICROCHIP TECHNOLOGY (VA),ATMEGA32U4-AUR,U$1,1,0,0,14 Weeks,IC MCU 8BIT 32KB FLASH 44TQFP,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
609-3210-ND,AMPHENOL FCI,67996-206HLF,JP5,1,0,0,8 Weeks,CONN HEADER 6POS .100 STR 15AU,,RoHS Compliant,Lead free,Not Available
490-1459-1-ND,MURATA ELECTRONICS (VA),GRM1885C1H222JA01D,C13,1,0,0,15 Weeks,CAP CER 2200PF 50V C0G/NP0 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
P1.0MGCT-ND,PANASONIC ELECTRONIC COMPONENTS (VA),ERJ-3GEYJ105V,R1,1,0,0,43 Weeks,RES SMD 1M OHM 5% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
490-3297-1-ND,MURATA ELECTRONICS (VA),GRM188R60J475KE19D,"C3, C6",2,0,0,15 Weeks,CAP CER 4.7UF 6.3V X5R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
740-1038-ND,MICROCHIP TECHNOLOGY,RN42-I/RM,U5,1,0,0,14 Weeks,RF TXRX MOD BLUETOOTH TRACE ANT,No delivery date available,RoHS Compliant,Lead free,Unaffected Jan-2017
490-1195-1-ND,MURATA ELECTRONICS (VA),CSTCE8M00G55-R0,Y1,1,0,0,9 Weeks,CER RES 8.0000MHZ 33PF SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Affected Jun-2016
311-2.00KHRCT-ND,YAGEO (VA),RC0603FR-072KL,R4,1,0,0,16 Weeks,RES SMD 2K OHM 1% 1/10W 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
160-1446-1-ND,LITE-ON INC (VA),LTST-C191KGKT,"D1, D2",2,0,0,14 Weeks,LED GREEN CLEAR 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
490-1512-1-ND,MURATA ELECTRONICS (VA),GRM188R71H103KA01D,C16,1,0,0,39 Weeks,CAP CER 10000PF 50V X7R 0603,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jun-2016
576-1281-1-ND,MICROCHIP TECHNOLOGY (VA),MIC5219-3.3YM5-TR,U6,1,0,0,7 Weeks,IC REG LINEAR 3.3V 500MA SOT23-5,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Jan-2017
160-1447-1-ND,LITE-ON INC (VA),LTST-C191KRKT,"D11, D6",2,0,0,14 Weeks,LED RED CLEAR 0603 SMD,Alternate Packaging Exists,RoHS Compliant,Lead free,Unaffected Dec-2015
